(Übergeordnete) ASIN,(Untergeordnete) ASIN,Titel,SKU,Sitzungen – Summe,Sitzungen – Summe – B2B,Prozentwert an Sitzungen – Summe,Prozentsatz Sitzung – Summe – B2B,Seitenaufrufe – Summe,Seitenaufrufe – Summe – B2B,Prozentsatz Seitenaufrufe – Summe,Prozentsatz Seitenaufrufe – Summe – B2B,Hervorgehobenes Angebot ("In-den-Einkaufswagen") – Prozentsatz,Hervorgehobenes Angebot (Einkaufswagen-Feld) Prozentwert – B2B,Bestellte Einheiten,Bestellte Einheiten – B2B,Prozentsatz an Einheiten pro Sitzung,Prozentsatz an Einheiten pro Sitzung – B2B,Durch bestellte Produkte erzielter Umsatz,Bestellsumme – B2B,Zahl der Bestellposten,Zahl der Bestellposten – B2B
B08NK44WPG,B08SQRQ4LR,5 Stück Pneumatik Verteiler 3-Fach - Push In Steckverbinder - (8mm Schlauchanschluss),162.008-5,21,4,0.03%,0.08%,33,6,0.04%,0.09%,92.00%,100.00%,9,4,42.86%,100.00%,"117,50 €","51,60 €",4,2
B08VRJ5Z8R,B08VRQQPYC,5 Stück Steckkappe Verschlusskappe zum Verschließen von Schlauchleitungen 10m Fitting für Schläuche,IQSC 100-5 neu,38,6,0.06%,0.12%,53,7,0.06%,0.10%,97.30%,100.00%,4,2,10.53%,33.33%,"24,94 €","12,36 €",4,2
B08VRJ5Z8R,B08VS2T6RY,10 Stück Steckkappe Verschlusskappe zum Verschließen von Schlauchleitungen 6mm Schläuche,IQSC 60-10,18,1,0.03%,0.02%,28,5,0.03%,0.07%,100.00%,100.00%,4,1,22.22%,100.00%,"35,78 €","8,81 €",4,1
B08KT4SNN7,B0DY88VVNJ,"Blubberschlauch Komplettset Premium - Set bestehend aus platinvernetztem Silikonschlauch, Schlauchhalter, Tritanflasche und Tasche. Taschen Design MARINE",SET-PREM-CLASSIC-MARINE,288,4,0.43%,0.08%,319,4,0.34%,0.06%,95.74%,100.00%,4,0,1.39%,0.00%,"139,96 €","0,00 €",4,0
B00BQWNCTW,B00BQWNCTW,Elmag 42364 Druckluft-Schlauchtülle mit Überwurfmutter | Innengewinde 3/8 Zoll | für 6mm Schlauch,ST 386 MS,18,1,0.03%,0.02%,23,1,0.02%,0.01%,86.96%,0.00%,4,1,22.22%,100.00%,"19,96 €","4,99 €",3,1
B076DPVQYG,B00CM8BCL4,"Polyurethan Druckluft Schlauch PU Pneumatikschlauch, 6mm außen, 50 m Rolle, Farbe: schwarz",PUN 6X4 SCHWARZ-50,16,3,0.02%,0.06%,18,4,0.02%,0.06%,78.57%,100.00%,5,5,31.25%,166.67%,"140,00 €","140,00 €",3,3
B08FCF8P6M,B00KWD9ZL0,Spiral-Ersatzschlauch für Braun Munddusche (grün-transparent),BES-grün (transluzent),47,1,0.07%,0.02%,58,1,0.06%,0.01%,42.50%,100.00%,3,0,6.38%,0.00%,"19,47 €","0,00 €",3,0
B08P3JHQ8Z,B00MCW3RV8,Absperrhahn mit 12mm Steckanschuss - Steckverbinder - Pneumatikverbinder - PUSH IN,KHST 120,94,9,0.14%,0.18%,115,10,0.12%,0.14%,96.63%,100.00%,3,0,3.19%,0.00%,"29,97 €","0,00 €",3,0
B08KJG3ZVP,B0108HHGOW,"5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (G 3/8"" x 16mm) zylindrisch",IQSG 3816 G-5,17,4,0.03%,0.08%,22,6,0.02%,0.09%,93.75%,100.00%,4,2,23.53%,50.00%,"103,16 €","51,18 €",3,1
B08KJG3ZVP,B0108HHGR4,"5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (G 1/2"" x 14mm) zylindrisch",IQSG 1214 G-5,22,5,0.03%,0.10%,29,7,0.03%,0.10%,90.91%,80.00%,3,2,13.64%,40.00%,"89,49 €","59,50 €",3,2
B08N6YT96F,B011OKN0OC,"5 Stück Steckverschraubung mit Innengewinde - Schnellsteckverbinder - Push In (G 1/2"" x 12mm)",IQSF 1212-5,20,4,0.03%,0.08%,32,6,0.03%,0.09%,86.21%,100.00%,5,3,25.00%,75.00%,"99,95 €","59,97 €",3,2
B08N6YT96F,B011OKN0OW,"5 Stück Steckverschraubung mit Innengewinde - Schnellsteckverbinder - Push In (G 1/8"" x 4mm)",IQSF 184-5,17,4,0.03%,0.08%,26,5,0.03%,0.07%,100.00%,100.00%,3,1,17.65%,25.00%,"20,67 €","6,89 €",3,1
B01450HX9G,B01450HX9G,"REHAU RAUCLAIR-E lebensmittelechter PVC-Schlauch, Wasserschlauch, Luftschlauch| METERWARE (1. Innen-Außen: 2mm x 4mm)",PVC 24-1,210,10,0.31%,0.20%,264,13,0.29%,0.19%,27.09%,72.73%,3,1,1.43%,10.00%,"11,67 €","3,89 €",3,1
B08L517ZSZ,B01E7CBUR8,"T-Schlauchverbinder, Y-Schlauchverbinder, Kreuz-Schlauchverbinder Messing (6 mm, Kreuz-Schlauchverbinder)",K 6 MS,25,0,0.04%,0.00%,39,0,0.04%,0.00%,96.97%,0.00%,5,0,20.00%,0.00%,"18,25 €","0,00 €",3,0
B08L517ZSZ,B01E7CBV1S,"T-Schlauchverbinder, Y-Schlauchverbinder, Kreuz-Schlauchverbinder Messing (13 mm, Y-Schlauchverbinder)",Y 13 MS,40,2,0.06%,0.04%,52,5,0.06%,0.07%,76.19%,100.00%,6,1,15.00%,50.00%,"31,50 €","5,25 €",3,1
B08L517ZSZ,B01E7CT110,"Gerade Schlauchverbinder, Schlauchverbindungsrohre, kurz, Messing (9 mm)",SVR 9 MS E,42,4,0.06%,0.08%,55,5,0.06%,0.07%,95.92%,100.00%,12,11,28.57%,275.00%,"23,40 €","21,45 €",3,2
B08L517ZSZ,B01E7CT1YW,"Gerade Schlauchverbinder, Schlauchverbindungsrohre, kurz, Messing (8 mm)",SVR 8 MS E,16,1,0.02%,0.02%,19,1,0.02%,0.01%,100.00%,100.00%,4,0,25.00%,0.00%,"7,80 €","0,00 €",3,0
B08SQRSVKM,B01MSMD8M3,"Pneumatik Winkel-Steckverschraubung - Push In Steckverbinder - zylindrisch - (G 1/2"" x 8mm)",IQSL 128 G,20,3,0.03%,0.06%,25,4,0.03%,0.06%,71.43%,100.00%,6,0,30.00%,0.00%,"25,74 €","0,00 €",3,0
B08SQRSVKM,B01N75L6YK,Pneumatik Winkel-Steckverschraubung - Push In Steckverbinder - zylindrisch - (M5 x 6mm),IQSL M56,25,4,0.04%,0.08%,27,5,0.03%,0.07%,88.89%,100.00%,7,5,28.00%,125.00%,"11,83 €","8,45 €",3,1
B08SQRSVKM,B01N8W28ZY,"Pneumatik Winkel-Steckverschraubung - Push In Steckverbinder - zylindrisch - (G 1/8"" x 8mm)",IQSL 188 G,39,1,0.06%,0.02%,58,1,0.06%,0.01%,94.23%,0.00%,14,0,35.90%,0.00%,"27,86 €","0,00 €",3,0
B08PC492F6,B06VT9ZZYW,"Aufschraub-T -Stück - Steckverbinder - Pneumatikverbinder - Push In (G 1/8"" x 8mm)",IQSTFF 188,24,0,0.04%,0.00%,39,0,0.04%,0.00%,78.95%,0.00%,6,0,25.00%,0.00%,"22,50 €","0,00 €",3,0
B06X15HJHJ,B06W5219BL,"1 Stück Pneumatik Einschraub-T-Stück - zylindrisch - Schnellsteckverbinder - Push In (G 3/8"" x 12mm)",IQST 3812 G,10,0,0.01%,0.00%,18,0,0.02%,0.00%,94.12%,0.00%,6,0,60.00%,0.00%,"27,00 €","0,00 €",3,0
B08N16ZTBV,B06WP4XTH1,3 Stück gerade Pneumatik Steckverbinder - Steckanschluss für Luft & Wasser - Schnellsteckverbinder - Push In Fitting (16mm),IQSG 160-3,30,3,0.04%,0.06%,44,3,0.05%,0.04%,89.47%,50.00%,3,0,10.00%,0.00%,"29,97 €","0,00 €",3,0
B075YZG2S9,B075YZG2S9,"REHAU RAUCLAIR-E lebensmittelechter PVC-Schlauch, Wasserschlauch, Luftschlauch| METERWARE (10. Innen-Außen: 6mm - 10mm)",PVC 610-1,53,5,0.08%,0.10%,73,5,0.08%,0.07%,33.33%,80.00%,7,6,13.21%,120.00%,"28,63 €","24,54 €",3,2
B08M3YW5CC,B075ZPGTGM,SiKoS Silikonschlauch in Lebensmittelqualität - flexibel - 4x6mm - Meterware,SILI_46-1,13,0,0.02%,0.00%,16,0,0.02%,0.00%,100.00%,0.00%,60,0,461.54%,0.00%,"174,60 €","0,00 €",3,0
B077ZVRW9S,B078121DYJ,"Gerade Schlauch-Verschraubung, Messing vernckelt, G 1/8"" x 6/4mm",CK 184_MSV,22,1,0.03%,0.02%,34,1,0.04%,0.01%,96.43%,0.00%,7,2,31.82%,200.00%,"9,73 €","2,78 €",3,1
B0788LGSF3,B0788N62KC,"SiKoS Hochwertiger Flexibler Silikonschlauch in Lebensmittelqualität - 9x13mm, Meterware",SILI_913_1,36,4,0.05%,0.08%,42,6,0.05%,0.09%,87.50%,100.00%,3,1,8.33%,25.00%,"23,64 €","7,88 €",3,1
B08FCF8P6M,B079MCLJXM,Spiral-Ersatzschlauch für Braun Munddusche (dunkel-blau),BES-d-blau,53,0,0.08%,0.00%,62,0,0.07%,0.00%,50.00%,0.00%,3,0,5.66%,0.00%,"19,47 €","0,00 €",3,0
B07F1Q7THF,B07F2SQV85,ATS PVC Schlauch 32mm/40mm in wählbarer Größe glasklar - Innendurchmesser: 32mm Aussendurchmesser: 40mm - Meterware,PVC_3240,97,5,0.15%,0.10%,120,5,0.13%,0.07%,97.75%,100.00%,4,0,4.12%,0.00%,"51,96 €","0,00 €",3,0
B08L517ZSZ,B07GJQFZNK,"T-Schlauchverbinder, Y-Schlauchverbinder, Kreuz-Schlauchverbinder Messing (25 mm, T-Schlauchverbinder)",T 25 MS,29,2,0.04%,0.04%,37,2,0.04%,0.03%,72.00%,0.00%,3,1,10.34%,50.00%,"31,77 €","10,59 €",3,1
B08KH7L7QS,B08GPBG679,"Pneumatik Polyurethan PUN Schlauch, 5 Meter, 4x2,5mm (Außen/Innen), blau, Flexibeler Druckluftschlauch für Luft Wasser Treibstoff Öl",TU 0425 BU3-5,21,2,0.03%,0.04%,29,2,0.03%,0.03%,88.00%,50.00%,5,2,23.81%,100.00%,"24,95 €","9,98 €",3,1
B08KH7L7QS,B08GQ16K5W,"Pneumatik Polyurethan PUN Schlauch, 5 Meter, 6x4mm (Außen/Innen), gelb, Flexibeler Druckluftschlauch für Luft Wasser Treibstoff Öl",TU 0604 Y1-5,18,4,0.03%,0.08%,25,9,0.03%,0.13%,100.00%,100.00%,3,0,16.67%,0.00%,"22,17 €","0,00 €",3,0
B08LZMYBJJ,B08LZH9G6Q,25m Polyethylenschlauch - 5/3mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: blau,PL 5X3 BLAU- 25,12,3,0.02%,0.06%,17,5,0.02%,0.07%,100.00%,100.00%,3,0,25.00%,0.00%,"47,97 €","0,00 €",3,0
B08LZMYBJJ,B08LZHBT6R,25m Polyethylenschlauch - 4/2mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: blau,PL 4X2 BLAU- 25,23,4,0.03%,0.08%,29,7,0.03%,0.10%,72.22%,50.00%,3,1,13.04%,25.00%,"36,00 €","12,00 €",3,1
B08LZMYBJJ,B08LZHX8KC,25m Polyethylenschlauch - 12/10mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: rot,PL 12X10 ROT- 25,40,3,0.06%,0.06%,47,3,0.05%,0.04%,82.14%,0.00%,3,0,7.50%,0.00%,"85,50 €","0,00 €",3,0
B08LZR4HHF,B08LZNM15M,50m Polyethylenschlauch - 10/8mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: blau,PL 10X8 BLAU- 50,206,22,0.31%,0.44%,243,26,0.26%,0.37%,75.98%,54.55%,3,1,1.46%,4.55%,"104,97 €","34,99 €",3,1
B08LZR4HHF,B08LZQDY6B,50m Polyethylenschlauch - 6/4mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: schwarz,PL 6X4 SCHWARZ- 50,22,3,0.03%,0.06%,27,3,0.03%,0.04%,73.33%,100.00%,3,2,13.64%,66.67%,"68,70 €","45,80 €",3,2
B08LZR4HHF,B08LZQKZCD,50m Polyethylenschlauch - 6/4mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: gelb,PL 6X4 GELB- 50,12,3,0.02%,0.06%,14,5,0.02%,0.07%,88.89%,100.00%,3,3,25.00%,100.00%,"68,70 €","68,70 €",3,3
B08LZR4HHF,B08M9TFD9P,50m Polyethylenschlauch - 6/4mm (Außen-Ø/Innen-Ø) - Druckluft Pneumatikschlauch Wasserschlauch - Farbe: dunkel-blau,PL 6X4 DU-BLAU-50 PRIME,36,2,0.05%,0.04%,44,2,0.05%,0.03%,100.00%,100.00%,3,0,8.33%,0.00%,"41,87 €","0,00 €",3,0
B08P3JHQ8Z,B08P3PYJSL,"Absperrhahn mit Steck- und Gewindeanschluss - konisch - Steckverbinder -Pneumatikverbinder - Push In (R 1/4"" x 8mm)",IQSKH 148-1,26,3,0.04%,0.06%,43,8,0.05%,0.11%,90.00%,100.00%,9,5,34.62%,166.67%,"96,10 €","52,90 €",3,1
B08SQRSVKM,B08P3QFR1M,"Pneumatik Winkel-Steckverschraubung - Push In Steckverbinder - konisch - (R 3/8"" x 6mm)",IQSL 386,18,6,0.03%,0.12%,29,10,0.03%,0.14%,78.26%,33.33%,10,7,55.56%,116.67%,"26,14 €","18,19 €",3,2
B08P3JHQ8Z,B08P3QYGGP,"Absperrhahn mit Steck- und Gewindeanschluss - konisch - Steckverbinder -Pneumatikverbinder - Push In (R 1/8"" x 6mm)",IQSKH 186-1,72,4,0.11%,0.08%,78,4,0.08%,0.06%,93.88%,0.00%,4,0,5.56%,0.00%,"43,20 €","0,00 €",3,0
B08SQRSVKM,B08P3R1FS4,"Pneumatik Winkel-Steckverschraubung - Push In Steckverbinder - konisch - (R 1/4"" x 6mm)",IQSL 146,50,6,0.07%,0.12%,80,21,0.09%,0.30%,87.69%,100.00%,14,0,28.00%,0.00%,"27,86 €","0,00 €",3,0
B08P3JHQ8Z,B08P3STYNV,"Absperrhahn mit Steck- und Gewindeanschluss - konisch - Steckverbinder -Pneumatikverbinder - Push In (R 3/8"" x 8mm)",IQSKH 388-1,19,2,0.03%,0.04%,25,2,0.03%,0.03%,75.00%,100.00%,10,9,52.63%,450.00%,"106,02 €","95,22 €",3,2
B08Q48X8VJ,B08Q8H9D6N,"Wanddose Druckluftweiche aus Kunststoff mit Messing Gewindeeinsätzen G 1/2"" Abgangsgewinde vorne 2 x G 1/2"" Luftweiche Durchgangsverteilerdose",WD 12 LW 2 KD,91,9,0.14%,0.18%,103,9,0.11%,0.13%,81.71%,100.00%,6,0,6.59%,0.00%,"149,94 €","0,00 €",3,0
B08SJ4RJQG,B08SHLP4Q8,"Druckluftkupplung Kupplungsdose NW 7,2 G 1/8"" Druckluft Kupplungsstecker Außengewinde Messing Gewindestecker",KDG 18 NW7,80,8,0.12%,0.16%,109,10,0.12%,0.14%,82.76%,100.00%,12,10,15.00%,125.00%,"82,48 €","68,50 €",3,1
B08SJ4RJQG,B08SHZQ4DY,"Druckluftkupplung Kupplungsdose Druckluft Kupplungsstecker mit Schlauchtülle Messing NW 7,2 8 (5/16"") mm",KDS 8 NW7,143,16,0.21%,0.32%,182,18,0.20%,0.26%,86.45%,83.33%,4,0,2.80%,0.00%,"27,96 €","0,00 €",3,0
B08SJ4RJQG,B08SJ14QM4,"Druckluftkupplung Kupplungsdose Druckluft Kupplungsstecker mit Schlauchtülle Messing NW 7,2 6 (1/4"") mm",KDS 6 NW7  PRIME,113,12,0.17%,0.24%,138,14,0.15%,0.20%,100.00%,100.00%,16,10,14.16%,83.33%,"155,04 €","96,90 €",3,1
B08SJ4RJQG,B08SJ3VJ64,"Druckluftkupplung Kupplungsdose Druckluft Kupplungsstecker mit Überwurfmutter 6x4 mm Messing NW 7,2",KDK 4 NW7,56,6,0.08%,0.12%,84,8,0.09%,0.11%,82.22%,0.00%,3,1,5.36%,16.67%,"25,89 €","8,51 €",3,1
B08SJ4RJQG,B08SJB2TDZ,"Druckluftkupplung Kupplungsdose Druckluft Kupplungsstecker mit Überwurfmutter 8x6 mm Messing NW 7,2",KDK 6 NW7,30,4,0.04%,0.08%,40,8,0.04%,0.11%,95.83%,100.00%,3,2,10.00%,50.00%,"28,69 €","19,00 €",3,2
B08SJ4RJQG,B08SJB6KDK,"Druckluftkupplung Schott-Kupplungsdose Druckluft Kupplungsstecker mit Schlauchtülle & Schottgewinde 6 (1/4"") mm Messing NW 7,2",KDSS 6 NW7,69,5,0.10%,0.10%,92,7,0.10%,0.10%,82.26%,100.00%,6,1,8.70%,20.00%,"75,29 €","12,34 €",3,1
B08N6TM97S,B08SMLT2Z1,5 Stück T-Verbinder - Pneumatik Steckverbinder - Steckanschluss für Luft & Wasser - Schnellsteckverbinder - Push In Fitting - (16mm Schlauchanschluss),IQST 160-5,19,4,0.03%,0.08%,28,4,0.03%,0.06%,76.92%,100.00%,5,5,26.32%,125.00%,"162,95 €","162,95 €",3,3
B08P7PKTYP,B08SQ1B6NP,5 Stück Kunststoff-Schottverschraubung mit Steckanschluss Push In Fitting Schott-Steckverbindung Steckverbinder für Druckluft & neutrale Gase (6mm Schlauchanschluss),IQSSK 60-5,57,3,0.09%,0.06%,79,6,0.09%,0.09%,86.57%,75.00%,6,2,10.53%,66.67%,"100,74 €","33,58 €",3,1
B08VS418C3,B08T6NHDTB,5 Stück Verschlussstecker - 12mm - Stopfen für Steckverbinder,IQSC 120H-5,8,0,0.01%,0.00%,11,0,0.01%,0.00%,88.89%,0.00%,3,0,37.50%,0.00%,"17,97 €","0,00 €",3,0
B08VS418C3,B08T6QMX42,5 Stück Verschlussstecker - 10mm - Stopfen für Steckverbinder,IQSC 100H-5,29,4,0.04%,0.08%,34,5,0.04%,0.07%,96.00%,100.00%,5,3,17.24%,75.00%,"20,68 €","12,30 €",3,1
B08VRJ5Z8R,B08VRBYRRR,5 Stück Steckkappe Verschlusskappe zum Verschließen von Schlauchleitungen 4mm Fitting für Schläuche,IQSC 40- 5 neu,12,3,0.02%,0.06%,23,4,0.02%,0.06%,83.33%,75.00%,3,0,25.00%,0.00%,"17,97 €","0,00 €",3,0
B08WWLL8V6,B08WWLL8V6,"90° - Winkel R 1/4"" Außengewinde 16 bar Gewindefitting Messing vernickelt Verbindungsstück Fitting",WA 14 MSV,39,1,0.06%,0.02%,78,1,0.08%,0.01%,80.00%,100.00%,3,0,7.69%,0.00%,"7,47 €","0,00 €",3,0
B0D81GL2FD,B0D81CMBPX,"TÜV-Sicherheitsventil G 1/4"" (DN8), 11,0 bar, Messing",SV 14-8-11 MS,18,1,0.03%,0.02%,33,1,0.04%,0.01%,90.00%,100.00%,3,0,16.67%,0.00%,"68,97 €","0,00 €",3,0
B0DFY92VN1,B0DFY7CWZV,Pneumatik Manometer mit 8mm Steckanschluss - bis 10 bar - Druckluft Steckverbinder - Pneumatikverbinder - PUSH IN,IQS MANO 810,36,8,0.05%,0.16%,42,10,0.05%,0.14%,90.00%,83.33%,3,1,8.33%,12.50%,"35,98 €","12,00 €",3,1
B0DFY92VN1,B0DFY8JKKV,Pneumatik Manometer mit 6mm Steckanschluss - bis 16 bar - Druckluft Steckverbinder - Pneumatikverbinder - PUSH IN,IQS MANO 616,33,1,0.05%,0.02%,38,1,0.04%,0.01%,94.74%,0.00%,3,0,9.09%,0.00%,"35,97 €","0,00 €",3,0
B07MCDCP7X,B0001P0MWK,"REHAU Schnellschlauchstück 13mm 1/2"", praktischer Steckverbinder, hochwertiges Messing, zuverlässiger Halt, einfacher Wechsel",WSKDS-13,5,2,0.01%,0.04%,11,5,0.01%,0.07%,100.00%,100.00%,3,1,60.00%,50.00%,"28,50 €","9,50 €",2,1
B0084UVU48,B0084UVU48,"RIEGLER 109124-122.038-6 Gerade Steckverschraubung »Blaue Serie«, G 3/8 a., Schlauch-Ø 6, 1Stk",IQSG 386 G,3,2,0.00%,0.04%,4,3,0.00%,0.04%,100.00%,100.00%,11,11,366.67%,550.00%,"16,50 €","16,50 €",2,2
B00B0PI4N4,B00B0PI4N4,"RIEGLER 109115-122.018-6 Gerade Steckverschraubung »Blaue Serie«, G 1/8 a., Schlauch-Ø 6, 1Stk",IQSG-186-G,13,2,0.02%,0.04%,35,3,0.04%,0.04%,90.91%,100.00%,2,1,15.38%,50.00%,"5,10 €","2,55 €",2,1
B00BQWNBUM,B00BQWNBUM,Elmag 42362 Druckluft-Schlauchtülle mit Überwurfmutter | Innengewinde 1/4 Zoll | für 9mm Schlauch,ST 149 MS,54,6,0.08%,0.12%,74,8,0.08%,0.11%,88.41%,50.00%,2,0,3.70%,0.00%,"9,98 €","0,00 €",2,0
B0CV7YDHN4,B00BQWNPGC,Elmag 42402 Druckluft-Muffe | Innengewinde 1/4 Zoll | Messing,MU 14 MS,101,9,0.15%,0.18%,149,11,0.16%,0.16%,100.00%,100.00%,2,0,1.98%,0.00%,"9,18 €","0,00 €",2,0
B00CD3XX8S,B00CD3XX8S,TÜV Sicherheitsventil Überdruckventil Kompressor 11 bar G 3/8,SV 38 8-11 MS,161,8,0.24%,0.16%,261,10,0.28%,0.14%,28.25%,40.00%,9,8,5.59%,100.00%,"210,87 €","187,44 €",2,1
B00CD421U8,B00CD421U8,"HVG-Druckluftzubehör Sicherheitsventil 16 bar G 3/8"" Messing Ventil",SV 38 8-16 MS,47,8,0.07%,0.16%,62,9,0.07%,0.13%,64.29%,66.67%,2,0,4.26%,0.00%,"46,98 €","0,00 €",2,0
B00CHMMGQA,B00CHMMGQA,"Polyethylen-Schlauch PE Pneumatikschlauch, 8mm, 50 Meter Rolle, Farbe: natur",PL 8X6 NATUR-50,35,9,0.05%,0.18%,48,10,0.05%,0.14%,100.00%,100.00%,3,2,8.57%,22.22%,"59,70 €","39,80 €",2,1
B00CHMOIB6,B00CHMOIB6,"Polyethylen-Schlauch PE Pneumatikschlauch, 8mm, 50 Meter Rolle, Farbe: schwarz",PL 8x6 SCHWARZ-50,10,0,0.01%,0.00%,11,0,0.01%,0.00%,100.00%,0.00%,2,0,20.00%,0.00%,"53,40 €","0,00 €",2,0
B076DPVQYG,B00CM86UM0,"Polyurethan Druckluft Schlauch PU Pneumatikschlauch, 4mm außen, 50 m Rolle, Farbe: schwarz",PU 4X2 SCHWARZ-50,29,4,0.04%,0.08%,35,5,0.04%,0.07%,83.33%,100.00%,2,1,6.90%,25.00%,"57,50 €","28,75 €",2,1
B073SDLHG5,B00K5UX3U4,"SiKoS Silikonschlauch - 3x5mm, Transparent, 1mm Wandstärke, Meterware",Sili 35-1,7,1,0.01%,0.02%,18,4,0.02%,0.06%,41.18%,100.00%,27,25,385.71%,"2,500.00%","69,12 €","64,00 €",2,1
B073SDLHG5,B00K6I7BTO,Silikonschlauch - 5x9mm - Meterware,Sili 59-1,7,2,0.01%,0.04%,9,2,0.01%,0.03%,100.00%,100.00%,6,5,85.71%,250.00%,"28,20 €","23,05 €",2,1
B08KQ9K3GS,B00K7E2GKG,Schlauchtülle Druckluftkupplung Stecknippel - Kupplungsstecker Außengewinde - M3 x 3mm - 1 Stück,GPK 33 MS,7,1,0.01%,0.02%,7,1,0.01%,0.01%,85.71%,100.00%,2,2,28.57%,200.00%,"4,50 €","4,50 €",2,2
B08KQ9K3GS,B00K7EPG1C,"Schlauchtülle Druckluftkupplung Stecknippel - Kupplungsstecker Außengewinde - G 1/4"" x 6mm - 1 Stück",GT 146 MS,21,3,0.03%,0.06%,22,3,0.02%,0.04%,90.48%,100.00%,2,0,9.52%,0.00%,"3,38 €","0,00 €",2,0
B08KQ9K3GS,B00K7ERR14,"Schlauchtülle Druckluftkupplung Stecknippel - Kupplungsstecker Außengewinde - G 1/4"" x 8mm - 1 Stück",GT 148 MS,19,3,0.03%,0.06%,28,6,0.03%,0.09%,90.00%,50.00%,3,0,15.79%,0.00%,"5,85 €","0,00 €",2,0
B08KQ9K3GS,B00K7EV31E,"Schlauchtülle Druckluftkupplung Stecknippel - Kupplungsstecker Außengewinde - G 1/4"" x 10mm - 1 Stück",GT 1410 MS,19,2,0.03%,0.04%,21,2,0.02%,0.03%,94.74%,100.00%,3,2,15.79%,100.00%,"5,67 €","3,78 €",2,1
B08KQ9K3GS,B00K7G3H66,"Schlauchtülle Druckluftkupplung Stecknippel - Kupplungsstecker Außengewinde - G 3/4"" x 9mm - 1 Stück",GT 349 MS,23,2,0.03%,0.04%,27,2,0.03%,0.03%,92.00%,100.00%,4,1,17.39%,50.00%,"25,17 €","6,30 €",2,1
B00K880YDM,B00K880YDM,"RIEGLER 111012-34.814 Winkel-Schlauchverbindungsstutzen, für Schlauch LW 10 mm, POM, 1Stk",W 10 K,6,1,0.01%,0.02%,8,2,0.01%,0.03%,100.00%,100.00%,12,10,200.00%,"1,000.00%","22,80 €","19,00 €",2,1
B00K88TOQ0,B00K88TOQ0,"RIEGLER 110945-31.120 Gerader Einschraubstutzen, M5 a, für Schlauch LW 3 mm, PA 6, 1Stk",GT 53 K,8,2,0.01%,0.04%,10,3,0.01%,0.04%,100.00%,100.00%,7,0,87.50%,0.00%,"15,75 €","0,00 €",2,0
B00KCPOEBE,B00KCPOEBE,5 Stück gerade Schlauchverbindung für Schlauch LW 2 - aus Messing,RTU 2/2,4,2,0.01%,0.04%,5,3,0.01%,0.04%,100.00%,100.00%,2,2,50.00%,100.00%,"10,71 €","10,71 €",2,2
B08FCF8P6M,B00KWD9ZPG,Spiral-Ersatzschlauch für Braun Munddusche (rot-transparent),BES-hellrot (transluzent,50,4,0.07%,0.08%,63,7,0.07%,0.10%,50.00%,60.00%,2,0,4.00%,0.00%,"12,98 €","0,00 €",2,0
B00OY44SOW,B00OY44SOW,"RIEGLER 103329-373.03 Mini-Kugelhahn, sandgestrahlt, MS vern., Flügelgriff, G 1/2 IG, 1Stk",KH 12 MKHE,3,3,0.00%,0.06%,5,5,0.01%,0.07%,100.00%,100.00%,5,5,166.67%,166.67%,"54,20 €","54,20 €",2,2
B00VK5W2A0,B00VK5W2A0,PVC Schläuche in wählbarer Größe glasklar 6mm ID Meterware,PVC_69_1,45,0,0.07%,0.00%,56,0,0.06%,0.00%,88.89%,0.00%,2,0,4.44%,0.00%,"7,50 €","0,00 €",2,0
B08KJG3ZVP,B0108HHGY2,"5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (G 3/8"" x 14mm) zylindrisch",IQSG 3814 G-5,16,5,0.02%,0.10%,18,5,0.02%,0.07%,77.78%,100.00%,2,2,12.50%,40.00%,"59,50 €","59,50 €",2,2
B08NK44WPG,B012XG9NH4,Pneumatik Verteiler 3-Fach - Push In Steckverbinder - (8mm Schlauchanschluss),162.008-2,69,6,0.10%,0.12%,81,6,0.09%,0.09%,91.18%,75.00%,2,0,2.90%,0.00%,"5,80 €","0,00 €",2,0
B08N6TM97S,B012XWOGDE,T-Stück - Pneumatik Steckverbinder - Steckanschluss für Luft & Wasser - Schnellsteckverbinder - Push In Fitting - (14mm Schlauchanschluss),IQST 140-2,22,1,0.03%,0.02%,31,1,0.03%,0.01%,76.92%,100.00%,8,7,36.36%,700.00%,"55,92 €","48,93 €",2,1
B08P7PKTYP,B015AGPRMY,Pneumatik Schottverschraubung - Push In Fitting Schott-Steckverbindung - Steckverbinder für Druckluft & neutrale Gase (4mm Schlauchanschluss),IQSS 40+,92,9,0.14%,0.18%,121,12,0.13%,0.17%,83.96%,80.00%,9,0,9.78%,0.00%,"23,40 €","0,00 €",2,0
